,Trade Name,Generic/Proper Name(s),Active Ingredient(s),DICT _ Concern,Standardized_SMILES,Standardized_InChI,DICTrank,name,Cardiotoxicity,CT label
67,trelstar,triptorelin pamoate,triptorelin pamoate,most,CC(C)CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1ccc([O-])cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[n-]1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCNC(N)=[NH2+])C(=O)[NH+]1CCCC1C(=O)NCC(N)=O,"InChI=1S/C64H82N18O13/c1-34(2)23-46(56(88)75-45(13-7-21-69-64(66)67)63(95)82-22-8-14-52(82)62(94)72-31-53(65)85)76-58(90)48(25-36-28-70-42-11-5-3-9-40(36)42)78-57(89)47(24-35-15-17-39(84)18-16-35)77-61(93)51(32-83)81-59(91)49(26-37-29-71-43-12-6-4-10-41(37)43)79-60(92)50(27-38-30-68-33-73-38)80-55(87)44-19-20-54(86)74-44/h3-6,9-12,15-18,28-30,33-34,44-52,70-71,83H,7-8,13-14,19-27,31-32H2,1-2H3,(H17,65,66,67,68,69,72,73,74,75,76,77,78,79,80,81,84,85,86,87,88,89,90,91,92,93,94)",1,triptorelin pamoate,Mixed,wp
68,xeljanz; xeljanz xr,tofacitinib,tofacitinib citrate,most,CC1CC[NH+](C(=O)CC#N)CC1[NH+](C)c1ncnc2[nH]ccc12,"InChI=1S/C16H20N6O/c1-11-5-8-22(14(23)3-6-17)9-13(11)21(2)16-12-4-7-18-15(12)19-10-20-16/h4,7,10-11,13H,3,5,8-9H2,1-2H3,(H,18,19,20)/p+2",1,tofacitinib,Heart Damage,bw
69,depo-estradiol,estradiol cypionate,estradiol cypionate,most,CC12CCC3c4ccc([O-])cc4CCC3C1CCC2OC(=O)CCC1CCCC1,"InChI=1S/C26H36O3/c1-26-15-14-21-20-10-8-19(27)16-18(20)7-9-22(21)23(26)11-12-24(26)29-25(28)13-6-17-4-2-3-5-17/h8,10,16-17,21-24,27H,2-7,9,11-15H2,1H3/p-1",1,estradiol cypionate,Heart Damage,bw
70,midodrine hydrochloride,midodrine hydrochloride,midodrine hydrochloride,most,COc1ccc(OC)c(C(O)CNC(=O)C[NH3+])c1,"InChI=1S/C12H18N2O4/c1-17-8-3-4-11(18-2)9(5-8)10(15)7-14-12(16)6-13/h3-5,10,15H,6-7,13H2,1-2H3,(H,14,16)/p+1",1,midodrine hydrochloride,Heart Damage,bw
71,octreotide acetate,octreotide acetate,octreotide acetate,most,CC(=O)C1NC(=O)C(CCCC[NH3+])NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)C([NH3+])Cc2ccccc2)CSSCC(C(=O)NC(CO)C(C)O)[NH2+]C1O,"InChI=1S/C49H66N10O10S2/c1-28(61)39(25-60)56-48(68)41-27-71-70-26-40(57-43(63)34(51)21-30-13-5-3-6-14-30)47(67)54-37(22-31-15-7-4-8-16-31)45(65)55-38(23-32-24-52-35-18-10-9-17-33(32)35)46(66)53-36(19-11-12-20-50)44(64)59-42(29(2)62)49(69)58-41/h3-10,13-18,24,28,34,36-42,49,52,58,60-61,69H,11-12,19-23,25-27,50-51H2,1-2H3,(H,53,66)(H,54,67)(H,55,65)(H,56,68)(H,57,63)(H,59,64)/p+3",1,octreotide acetate,Arrhythmia,wp
72,verapamil hydrochloride,verapamil hydrochloride,verapamil hydrochloride,most,COc1ccc(CC[NH+](C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,"InChI=1S/C27H38N2O4/c1-20(2)27(19-28,22-10-12-24(31-5)26(18-22)33-7)14-8-15-29(3)16-13-21-9-11-23(30-4)25(17-21)32-6/h9-12,17-18,20H,8,13-16H2,1-7H3/p+1",1,verapamil hydrochloride,Mixed,wp
73,atomoxetine hydrochloride,atomoxetine hydrochloride,atomoxetine hydrochloride,most,C[NH2+]CCC(Oc1ccccc1C)c1ccccc1,"InChI=1S/C17H21NO/c1-14-8-6-7-11-16(14)19-17(12-13-18-2)15-9-4-3-5-10-15/h3-11,17-18H,12-13H2,1-2H3/p+1",1,atomoxetine hydrochloride,Mixed,wp
74,fluoxetine,fluoxetine hydrochloride,fluoxetine hydrochloride,most,C[NH2+]CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,"InChI=1S/C17H18F3NO/c1-21-12-11-16(13-5-3-2-4-6-13)22-15-9-7-14(8-10-15)17(18,19)20/h2-10,16,21H,11-12H2,1H3/p+1",1,fluoxetine hydrochloride,Arrhythmia,wp
75,nortriptyline hydrochloride,nortriptyline hydrochloride,nortriptyline hydrochloride,most,C[NH2+]CCC=C1c2ccccc2CCc2ccccc21,"InChI=1S/C19H21N/c1-20-14-6-11-19-17-9-4-2-7-15(17)12-13-16-8-3-5-10-18(16)19/h2-5,7-11,20H,6,12-14H2,1H3/p+1",1,nortriptyline hydrochloride,Arrhythmia,wp
76,avandia,rosiglitazone maleate,rosiglitazone maleate,most,CN(CCOc1ccc(Cc2sc(=O)[n-]c2[O-])cc1)c1ccccn1,"InChI=1S/C18H19N3O3S/c1-21(16-4-2-3-9-19-16)10-11-24-14-7-5-13(6-8-14)12-15-17(22)20-18(23)25-15/h2-9H,10-12H2,1H3,(H2,20,22,23)/p-2",1,rosiglitazone maleate,Heart Damage,bw
77,lorbrena,lorlatinib,lorlatinib,most,CC1Oc2cc(c[n-]c2=N)-c2c(nn(C)c2C#N)C[NH+](C)C(=O)c2ccc(F)cc21,"InChI=1S/C21H18FN6O2/c1-11-15-7-13(22)4-5-14(15)21(29)27(2)10-16-19(17(8-23)28(3)26-16)12-6-18(30-11)20(24)25-9-12/h4-7,9,11H,10H2,1-3H3,(H-,24,25)/q-1/p+1",1,lorlatinib,Mixed,wp
78,bisoprolol fumarate,bisoprolol fumarate,bisoprolol fumarate,most,CC(C)[NH2+]CC(O)COc1ccc(COCCOC(C)C)cc1,"InChI=1S/C18H31NO4/c1-14(2)19-11-17(20)13-23-18-7-5-16(6-8-18)12-21-9-10-22-15(3)4/h5-8,14-15,17,19-20H,9-13H2,1-4H3/p+1",1,bisoprolol fumarate,Heart Damage,wp
79,digoxin,digoxin,digoxin,most,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(c7coc([O-])c7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,"InChI=1S/C41H64O14/c1-19-36(47)28(42)15-34(50-19)54-38-21(3)52-35(17-30(38)44)55-37-20(2)51-33(16-29(37)43)53-24-8-10-39(4)23(13-24)6-7-26-27(39)14-31(45)40(5)25(9-11-41(26,40)48)22-12-32(46)49-18-22/h12,18-21,23-31,33-38,42-48H,6-11,13-17H2,1-5H3/p-1",1,digoxin,Arrhythmia,wp
80,naratriptan,naratriptan,naratriptan hydrochloride,most,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CC[NH+](C)CC3)c2c1,"InChI=1S/C17H25N3O2S/c1-18-23(21,22)10-7-13-3-4-17-15(11-13)16(12-19-17)14-5-8-20(2)9-6-14/h3-4,11-12,14,18-19H,5-10H2,1-2H3/p+1",1,naratriptan,Mixed,wp
81,methylphenidate hydrochloride,methylphenidate hydrochloride,methylphenidate hydrochloride,most,COC(=O)C(c1ccccc1)C1CCCC[NH2+]1,"InChI=1S/C14H19NO2/c1-17-14(16)13(11-7-3-2-4-8-11)12-9-5-6-10-15-12/h2-4,7-8,12-13,15H,5-6,9-10H2,1H3/p+1",1,methylphenidate hydrochloride,Mixed,wp
82,levofloxacin,levofloxacin,levofloxacin,most,CC1COc2c(N3CC[NH+](C)CC3)c(F)cc3c(=O)c(C(=O)[O-])cn1c23,"InChI=1S/C18H20FN3O4/c1-10-9-26-17-14-11(16(23)12(18(24)25)8-22(10)14)7-13(19)15(17)21-5-3-20(2)4-6-21/h7-8,10H,3-6,9H2,1-2H3,(H,24,25)",1,levofloxacin,Arrhythmia,wp
83,oxybutynin chloride,oxybutynin chloride,oxybutynin chloride,most,CC[NH+](CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,"InChI=1S/C22H31NO3/c1-3-23(4-2)17-11-12-18-26-21(24)22(25,19-13-7-5-8-14-19)20-15-9-6-10-16-20/h5,7-8,13-14,20,25H,3-4,6,9-10,15-18H2,1-2H3/p+1",1,oxybutynin chloride,Mixed,wp
84,nicardipine hydrochloride,nicardipine hydrochloride,nicardipine hydrochloride,most,COC(=O)C1=C(C)N=C(C)C(C(=O)OCC[NH+](C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,"InChI=1S/C26H29N3O6/c1-17-22(25(30)34-4)24(20-11-8-12-21(15-20)29(32)33)23(18(2)27-17)26(31)35-14-13-28(3)16-19-9-6-5-7-10-19/h5-12,15,23-24H,13-14,16H2,1-4H3/p+1",1,nicardipine hydrochloride,Heart Damage,wp
85,alvimopan,alvimopan,alvimopan,most,CC1C[NH+](CC(Cc2ccccc2)C(=O)NCC(=O)[O-])CCC1(C)c1cccc([O-])c1,"InChI=1S/C25H32N2O4/c1-18-16-27(12-11-25(18,2)21-9-6-10-22(28)14-21)17-20(24(31)26-15-23(29)30)13-19-7-4-3-5-8-19/h3-10,14,18,20,28H,11-13,15-17H2,1-2H3,(H,26,31)(H,29,30)/p-1",1,alvimopan,Heart Damage,bw
86,,sparfloxacin,sparfloxacin,most,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)[O-])cn(C4CC4)c3c2F)CC(C)[NH2+]1,"InChI=1S/C19H22F2N4O3/c1-8-5-24(6-9(2)23-8)17-13(20)15(22)12-16(14(17)21)25(10-3-4-10)7-11(18(12)26)19(27)28/h7-10,23H,3-6,22H2,1-2H3,(H,27,28)",1,sparfloxacin,Arrhythmia,Withdraw
87,xospata,gilteritinib,gilteritinib fumarate,most,CCc1nc(C(N)=O)c(=Nc2ccc(N3CCC([NH+]4CC[NH+](C)CC4)CC3)c(OC)c2)[n-]c1[NH2+]C1CCOCC1,"InChI=1S/C29H44N8O3/c1-4-23-28(31-20-9-17-40-18-10-20)34-29(26(33-23)27(30)38)32-21-5-6-24(25(19-21)39-3)37-11-7-22(8-12-37)36-15-13-35(2)14-16-36/h5-6,19-20,22H,4,7-18H2,1-3H3,(H4,30,31,32,34,38)/p+2",1,gilteritinib,Arrhythmia,wp
88,capecitabine,capecitabine,capecitabine,most,CCCCCOC(=O)N=c1[n-]c(=O)n(C2OC(C)C(O)C2O)cc1F,"InChI=1S/C15H22FN3O6/c1-3-4-5-6-24-15(23)18-12-9(16)7-19(14(22)17-12)13-11(21)10(20)8(2)25-13/h7-8,10-11,13,20-21H,3-6H2,1-2H3,(H,17,18,22,23)/p-1",1,capecitabine,Mixed,wp
89,daunorubicin hydrochloride,daunorubicin hydrochloride,daunorubicin hydrochloride,most,COc1cccc2c([O-])c3c([O-])c4c(c([O-])c3c([O-])c12)=C(OC1CC([NH3+])C(O)C(C)O1)CC(O)(C(C)=O)C=4,"InChI=1S/C27H29NO10/c1-10-22(30)14(28)7-17(37-10)38-16-9-27(35,11(2)29)8-13-19(16)26(34)21-20(24(13)32)23(31)12-5-4-6-15(36-3)18(12)25(21)33/h4-6,8,10,14,17,22,30-35H,7,9,28H2,1-3H3/p-3",1,daunorubicin hydrochloride,Heart Damage,bw
90,corvert,ibutilide fumarate,ibutilide fumarate,most,CCCCCCC[NH+](CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,"InChI=1S/C20H36N2O3S/c1-4-6-7-8-9-16-22(5-2)17-10-11-20(23)18-12-14-19(15-13-18)21-26(3,24)25/h12-15,20-21,23H,4-11,16-17H2,1-3H3/p+1",1,ibutilide fumarate,Arrhythmia,wp
91,isovue 200; isovue 250; isovue 300; isovue 370,iopamidol,iopamidol,most,CC(=O)C(O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,"InChI=1S/C17H22I3N3O8/c1-6(28)15(29)23-14-12(19)9(16(30)21-7(2-24)3-25)11(18)10(13(14)20)17(31)22-8(4-26)5-27/h7-8,15,23-27,29H,2-5H2,1H3,(H,21,30)(H,22,31)",1,iopamidol,Mixed,wp
92,corlanor,ivabradine,ivabradine hydrochloride,most,COc1cc2c(cc1OC)CC(=O)[NH+](CCC[NH+](C)CC1Cc3cc(OC)c(OC)cc31)CC2,"InChI=1S/C27H36N2O5/c1-28(17-21-11-20-14-25(33-4)26(34-5)16-22(20)21)8-6-9-29-10-7-18-12-23(31-2)24(32-3)13-19(18)15-27(29)30/h12-14,16,21H,6-11,15,17H2,1-5H3/p+2",1,ivabradine,Arrhythmia,wp
93,moxifloxacin hydrochloride,moxifloxacin hydrochloride,moxifloxacin hydrochloride,most,COc1c(N2CC3CCC[NH2+]C3C2)c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3)c12,"InChI=1S/C21H24FN3O4/c1-29-20-17-13(19(26)14(21(27)28)9-25(17)12-4-5-12)7-15(22)18(20)24-8-11-3-2-6-23-16(11)10-24/h7,9,11-12,16,23H,2-6,8,10H2,1H3,(H,27,28)",1,moxifloxacin hydrochloride,Arrhythmia,wp
94,cartia xt,diltiazem hydrochloride,diltiazem hydrochloride,most,COc1ccc(C2Sc3ccccc3N(CC[NH+](C)C)C(=O)C2OC(C)=O)cc1,"InChI=1S/C22H26N2O4S/c1-15(25)28-20-21(16-9-11-17(27-4)12-10-16)29-19-8-6-5-7-18(19)24(22(20)26)14-13-23(2)3/h5-12,20-21H,13-14H2,1-4H3/p+1",1,diltiazem hydrochloride,Mixed,wp
95,belviq xr; belviq,lorcaserin hydrochloride hemihydrate,lorcaserin hydrochloride hemihydrate,most,CC1C[NH2+]CCc2ccc(Cl)cc21,"InChI=1S/C11H14ClN/c1-8-7-13-5-4-9-2-3-10(12)6-11(8)9/h2-3,6,8,13H,4-5,7H2,1H3/p+1",1,lorcaserin hydrochloride hemihydrate,Mixed,wp
96,phenytoin,phenytoin,phenytoin,most,O=C1[N-]C(=O)C(c2ccccc2)(c2ccccc2)N1,"InChI=1S/C15H12N2O2/c18-13-15(17-14(19)16-13,11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H,(H2,16,17,18,19)/p-1",1,phenytoin,Arrhythmia,wp
97,diethylpropion hydrochloride er,diethylpropion hydrochloride er,diethylpropion hydrochloride,most,CC[NH+](CC)C(C)C(=O)c1ccccc1,"InChI=1S/C13H19NO/c1-4-14(5-2)11(3)13(15)12-9-7-6-8-10-12/h6-11H,4-5H2,1-3H3/p+1",1,diethylpropion hydrochloride er,Heart Damage,wp
98,sotalol,sotalol,sotalol,most,CC(C)[NH2+]CC(O)c1ccc(NS(C)(=O)=O)cc1,"InChI=1S/C12H20N2O3S/c1-9(2)13-8-12(15)10-4-6-11(7-5-10)14-18(3,16)17/h4-7,9,12-15H,8H2,1-3H3/p+1",1,sotalol,Mixed,wp
99,etodolac,etodolac,etodolac,most,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)[O-])OCC3,"InChI=1S/C17H21NO3/c1-3-11-6-5-7-12-13-8-9-21-17(4-2,10-14(19)20)16(13)18-15(11)12/h5-7,18H,3-4,8-10H2,1-2H3,(H,19,20)/p-1",1,etodolac,Heart Damage,bw
100,katerzia,amlodipine,amlodipine benzoate,most,CCOC(=O)C1=C(COCC[NH3+])N=C(C)C(C(=O)OC)C1c1ccccc1Cl,"InChI=1S/C20H25ClN2O5/c1-4-28-20(25)18-15(11-27-10-9-22)23-12(2)16(19(24)26-3)17(18)13-7-5-6-8-14(13)21/h5-8,16-17H,4,9-11,22H2,1-3H3/p+1",1,amlodipine,Heart Damage,wp
101,flumazenil,flumazenil,flumazenil,most,CCOC(=O)c1ncn2c1C[NH+](C)C(=O)c1cc(F)ccc1-2,"InChI=1S/C15H14FN3O3/c1-3-22-15(21)13-12-7-18(2)14(20)10-6-9(16)4-5-11(10)19(12)8-17-13/h4-6,8H,3,7H2,1-2H3/p+1",1,flumazenil,Arrhythmia,wp
102,e.e.s; e.e.s 400,erythromycin ethylsuccinate,erythromycin ethylsuccinate,most,CCOC(=O)CCC(=O)OC1C(OC2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC2(C)O)OC(C)CC1[NH+](C)C,"InChI=1S/C43H75NO16/c1-15-29-43(11,52)36(48)24(5)33(47)22(3)20-41(9,51)38(25(6)34(26(7)39(50)57-29)59-32-21-42(10,53-14)37(49)27(8)56-32)60-40-35(28(44(12)13)19-23(4)55-40)58-31(46)18-17-30(45)54-16-2/h22-29,32,34-38,40,48-49,51-52H,15-21H2,1-14H3/p+1",1,erythromycin ethylsuccinate,Arrhythmia,wp
103,ethyol,amifostine,amifostine,most,[NH3+]CCC[NH2+]CCS[P](=O)(=O)O,"InChI=1S/C5H14N2O3PS/c6-2-1-3-7-4-5-12-11(8,9)10/h7H,1-6H2,(H,8,9,10)/p+2",1,amifostine,Mixed,wp
104,olumiant,baricitinib,baricitinib,most,CCS(=O)(=O)[NH+]1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,"InChI=1S/C16H17N7O2S/c1-2-26(24,25)22-9-16(10-22,4-5-17)23-8-12(7-21-23)14-13-3-6-18-15(13)20-11-19-14/h3,6-8,11H,2,4,9-10H2,1H3,(H,18,19,20)/p+1",1,baricitinib,Heart Damage,bw
105,,propoxyphene,propoxyphene,most,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)C[NH+](C)C,"InChI=1S/C22H29NO2/c1-5-21(24)25-22(18(2)17-23(3)4,20-14-10-7-11-15-20)16-19-12-8-6-9-13-19/h6-15,18H,5,16-17H2,1-4H3/p+1",1,propoxyphene,Arrhythmia,Withdraw
106,ofev,nintedanib,nintedanib esylate,most,COC(=O)c1ccc2c(C(=Nc3ccc(N(C)C(=O)C[NH+]4CC[NH+](C)CC4)cc3)c3ccccc3)c([O-])[n-]c2c1,"InChI=1S/C31H33N5O4/c1-34-15-17-36(18-16-34)20-27(37)35(2)24-12-10-23(11-13-24)32-29(21-7-5-4-6-8-21)28-25-14-9-22(31(39)40-3)19-26(25)33-30(28)38/h4-14,19H,15-18,20H2,1-3H3,(H2,32,33,38,39)",1,nintedanib,Heart Damage,wp
107,minoxidil,minoxidil,minoxidil,most,N=c1[n-]c(N2CCCCC2)cc(N)[n+]1[O-],"InChI=1S/C9H14N5O/c10-7-6-8(12-9(11)14(7)15)13-4-2-1-3-5-13/h6H,1-5,10H2,(H-,11,12)/q-1",1,minoxidil,Heart Damage,bw
108,ellence,epirubicin hydrochloride,epirubicin hydrochloride,most,COc1cccc2c([O-])c3c([O-])c4c(c([O-])c3c([O-])c12)=C(OC1CC([NH3+])C(O)C(C)O1)CC(O)(C(=O)CO)C=4,"InChI=1S/C27H29NO11/c1-10-22(31)13(28)6-17(38-10)39-15-8-27(36,16(30)9-29)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34/h3-5,7,10,13,17,22,29,31-36H,6,8-9,28H2,1-2H3/p-3",1,epirubicin hydrochloride,Mixed,bw
109,,grepafloxacin,grepafloxacin,most,Cc1c(F)c(N2CC[NH2+]C(C)C2)cc2c1c(=O)c(C(=O)[O-])cn2C1CC1,"InChI=1S/C19H22FN3O3/c1-10-8-22(6-5-21-10)15-7-14-16(11(2)17(15)20)18(24)13(19(25)26)9-23(14)12-3-4-12/h7,9-10,12,21H,3-6,8H2,1-2H3,(H,25,26)",1,grepafloxacin,Arrhythmia,Withdraw
110,mefloquine hydrochloride,mefloquine hydrochloride,mefloquine hydrochloride,most,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCC[NH2+]1,"InChI=1S/C17H16F6N2O/c18-16(19,20)11-5-3-4-9-10(15(26)12-6-1-2-7-24-12)8-13(17(21,22)23)25-14(9)11/h3-5,8,12,15,24,26H,1-2,6-7H2/p+1",1,mefloquine hydrochloride,Arrhythmia,wp
111,,etoricoxib,etoricoxib,most,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,"InChI=1S/C18H15ClN2O2S/c1-12-3-4-14(10-20-12)18-17(9-15(19)11-21-18)13-5-7-16(8-6-13)24(2,22)23/h3-11H,1-2H3",1,etoricoxib,Heart Damage,Withdraw
112,revlimid,lenalidomide,lenalidomide,most,Nc1cccc2c1C[NH+](C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H13N3O3/c14-9-3-1-2-7-8(9)6-16(13(7)19)10-4-5-11(17)15-12(10)18/h1-3,10H,4-6,14H2,(H,15,17,18)/p+1",1,lenalidomide,Heart Damage,bw
113,byfavo,remimazolam besylate,remimazolam besylate,most,COC(=O)CCC1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21,"InChI=1S/C21H19BrN4O2/c1-13-12-24-21-17(7-9-19(27)28-2)25-20(16-5-3-4-10-23-16)15-11-14(22)6-8-18(15)26(13)21/h3-6,8,10-12,17H,7,9H2,1-2H3",1,remimazolam besylate,Mixed,bw
114,tasigna,nilotinib,nilotinib,most,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(N=c4nc(-c5cccnc5)cc[n-]4)c3)cc(C(F)(F)F)c2)cn1,"InChI=1S/C28H22F3N7O/c1-17-5-6-19(10-25(17)37-27-33-9-7-24(36-27)20-4-3-8-32-14-20)26(39)35-22-11-21(28(29,30)31)12-23(13-22)38-15-18(2)34-16-38/h3-16H,1-2H3,(H2,33,35,36,37,39)/p-1",1,nilotinib,Arrhythmia,bw
115,cinacalcet,cinacalcet,cinacalcet hydrochloride,most,CC([NH2+]CCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,"InChI=1S/C22H22F3N/c1-16(20-13-5-10-18-9-2-3-12-21(18)20)26-14-6-8-17-7-4-11-19(15-17)22(23,24)25/h2-5,7,9-13,15-16,26H,6,8,14H2,1H3/p+1",1,cinacalcet,Arrhythmia,wp
116,pomalyst,pomalidomide,pomalidomide,most,Nc1cccc2c1C(=O)[NH+](C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H11N3O4/c14-7-3-1-2-6-10(7)13(20)16(12(6)19)8-4-5-9(17)15-11(8)18/h1-3,8H,4-5,14H2,(H,15,17,18)/p+1",1,pomalidomide,Heart Damage,bw
117,idarubicin hydrochloride,idarubicin hydrochloride,idarubicin hydrochloride,most,CC(=O)C1(O)C=C(OC2CC([NH3+])C(O)C(C)O2)c2c(c([O-])c3c([O-])c4ccccc4c([O-])c3c2[O-])C1,"InChI=1S/C26H27NO9/c1-10-21(29)15(27)7-17(35-10)36-16-9-26(34,11(2)28)8-14-18(16)25(33)20-19(24(14)32)22(30)12-5-3-4-6-13(12)23(20)31/h3-6,9-10,15,17,21,29-34H,7-8,27H2,1-2H3/p-3",1,idarubicin hydrochloride,Mixed,bw
118,pioglitazone,pioglitazone,pioglitazone,most,CCc1ccc(CCOc2ccc(Cc3sc(=O)[n-]c3[O-])cc2)nc1,"InChI=1S/C19H20N2O3S/c1-2-13-3-6-15(20-12-13)9-10-24-16-7-4-14(5-8-16)11-17-18(22)21-19(23)25-17/h3-8,12H,2,9-11H2,1H3,(H2,21,22,23)/p-2",1,pioglitazone,Heart Damage,bw
119,precedex,dexmedetomidine hydrochloride,dexmedetomidine hydrochloride,most,Cc1cccc(C(C)c2c[n-]cn2)c1C,"InChI=1S/C13H15N2/c1-9-5-4-6-12(10(9)2)11(3)13-7-14-8-15-13/h4-8,11H,1-3H3/q-1",1,dexmedetomidine hydrochloride,Mixed,wp
120,dehydrated alcohol,alcohol,alcohol,most,CCO,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",1,alcohol,Mixed,wp
121,cabergoline,cabergoline,cabergoline,most,C=CC[NH+]1CC(C(=O)[NH+](CCC[NH+](C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21,"InChI=1S/C26H37N5O2/c1-5-11-30-17-19(25(32)31(26(33)27-6-2)13-8-12-29(3)4)14-21-20-9-7-10-22-24(20)18(16-28-22)15-23(21)30/h5,7,9-10,16,19,21,23,28H,1,6,8,11-15,17H2,2-4H3,(H,27,33)/p+3",1,cabergoline,Heart Damage,wp
122,,tegaserod,tegaserod,most,CCCCC[NH+]=C(N)NN=Cc1c[nH]c2ccc(OC)cc12,"InChI=1S/C16H23N5O/c1-3-4-5-8-18-16(17)21-20-11-12-10-19-15-7-6-13(22-2)9-14(12)15/h6-7,9-11,19H,3-5,8H2,1-2H3,(H3,17,18,21)/p+1",1,tegaserod,,sp
123,asclera,polidocanol,polidocanol,most,CCCCCCCCCCCCOCCO,"InChI=1S/C14H30O2/c1-2-3-4-5-6-7-8-9-10-11-13-16-14-12-15/h15H,2-14H2,1H3",1,polidocanol,Heart Damage,wp
124,erythrocin stearate,erythromycin stearate,erythromycin stearate,most,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,"InChI=1S/C37H67NO13/c1-14-25-37(10,45)30(41)20(4)27(39)18(2)16-35(8,44)32(51-34-28(40)24(38(11)12)15-19(3)47-34)21(5)29(22(6)33(43)49-25)50-26-17-36(9,46-13)31(42)23(7)48-26/h18-26,28-32,34,40-42,44-45H,14-17H2,1-13H3/p+1",1,erythromycin stearate,Arrhythmia,wp
125,invega hafyera,paliperidone palmitate,paliperidone palmitate,most,CCCCCCCCCCCCCCCC(=O)OC1CCCn2c1nc(C)c(CC[NH+]1CCC(c3noc4cc(F)ccc34)CC1)c2=O,"InChI=1S/C39H57FN4O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-18-36(45)47-34-17-16-24-44-38(34)41-29(2)32(39(44)46)23-27-43-25-21-30(22-26-43)37-33-20-19-31(40)28-35(33)48-42-37/h19-20,28,30,34H,3-18,21-27H2,1-2H3/p+1",1,paliperidone palmitate,Arrhythmia,wp
126,mavenclad,cladribine,cladribine,most,N=c1[n-]c(Cl)nc2c1ncn2C1CC(O)C(CO)O1,"InChI=1S/C10H11ClN5O3/c11-10-14-8(12)7-9(15-10)16(3-13-7)6-1-4(18)5(2-17)19-6/h3-6,17-18H,1-2H2,(H-,12,14,15)/q-1",1,cladribine,Heart Damage,wp
127,permax,pergolide,pergolide,most,CCC[NH+]1CC(CSC)CC2c3cccc4[nH]cc(c34)CC21,"InChI=1S/C19H26N2S/c1-3-7-21-11-13(12-22-2)8-16-15-5-4-6-17-19(15)14(10-20-17)9-18(16)21/h4-6,10,13,16,18,20H,3,7-9,11-12H2,1-2H3/p+1",1,pergolide,Heart Damage,bw
128,imbruvica,ibrutinib,ibrutinib,most,C=CC(=O)[NH+]1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(=N)[n-]cnc32)C1,"InChI=1S/C25H23N6O2/c1-2-21(32)30-14-6-7-18(15-30)31-25-22(24(26)27-16-28-25)23(29-31)17-10-12-20(13-11-17)33-19-8-4-3-5-9-19/h2-5,8-13,16,18H,1,6-7,14-15H2,(H-,26,27,28,29)/q-1/p+1",1,ibrutinib,Mixed,wp
129,aveed,testosterone undecanoate,testosterone undecanoate,most,CCCCCCCCCCC(=O)OC1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C,"InChI=1S/C30H48O3/c1-4-5-6-7-8-9-10-11-12-28(32)33-27-16-15-25-24-14-13-22-21-23(31)17-19-29(22,2)26(24)18-20-30(25,27)3/h13,24-27H,4-12,14-21H2,1-3H3",1,testosterone undecanoate,Heart Damage,wp
