,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,DICT _ Concern
57,NN=c1[n-]ncc2c1cccc2,C8H7N4-,159.17,12,10,0.0,0,3,1,44.39,64.16,0.64,0.68,-0.03,1.23,1.53,0.81,-1.87,2.14,0.0134,Very soluble,-1.6,3.96,0.0249,Very soluble,-3.01,0.156,0.000979,Soluble,1,0,0,0,0,0,0,0,-6.79,0,2,0,0,1,0.85,0,1,1,2.49,most
58,OCC1OC(OCC2OC(OCC(C(C(=O)C(CO)O)O)O)C(C(C2O)O)O)C(C(C1O)O)O,C18H32O16,504.44,34,0,0.94,11,16,11,101.73,276.52,0.84,-7.02,-7.73,-6.71,-5.21,-5.16,2.18,76500.0,152.0,Highly soluble,1.93,42600.0,84.4,Highly soluble,5.48,152000000.0,302000.0,Soluble,0,0,1,0,0,0,0,0,-14.36,3,2,2,1,4,0.17,0,0,2,6.25,most
59,[O-]c1cn2c(n1)Nc1c(C2)c(Cl)c(cc1)Cl,C10H6Cl2N3O-,255.08,16,11,0.1,0,2,1,64.17,52.91,1.9,2.8,3.06,2.35,1.98,2.42,-3.69,0.0516,0.000202,Soluble,-3.57,0.069,0.00027,Soluble,-3.91,0.0312,0.000122,Soluble,1,1,1,1,1,0,0,0,-5.87,0,0,0,0,0,0.85,0,0,0,2.59,most
60,C[NH+](CCc1c[nH]c2c1cc(cc2)Cn1cncn1)C,C15H20N5+,270.35,20,14,0.33,5,2,2,81.17,50.94,2.28,2.02,0.49,-2.19,2.16,0.95,-2.98,0.285,0.00105,Soluble,-2.72,0.519,0.00192,Soluble,-4.77,0.00462,1.71e-05,Moderately soluble,1,0,0,0,0,0,0,0,-6.51,0,0,0,0,0,0.55,0,0,0,2.22,most
61,C[NH+]1CCCC1Cc1c[nH]c2c1cc(cc2)CCS(=O)(=O)c1ccccc1,C22H27N2O2S+,383.53,27,15,0.36,6,2,2,115.35,62.75,2.99,4.09,3.1,-0.47,4.41,2.83,-4.81,0.00594,1.55e-05,Moderately soluble,-5.11,0.00296,7.71e-06,Moderately soluble,-7.48,1.28e-05,3.33e-08,Poorly soluble,1,1,1,1,1,1,0,1,-5.74,0,0,0,0,0,0.55,0,0,2,3.83,most
62,N#Cc1ccc2c(c1)COC2(CCC[NH+](C)C)c1ccc(cc1)F,C20H22FN2O+,325.4,24,12,0.35,5,3,1,92.58,37.46,3.51,3.23,2.56,-0.8,4.79,2.66,-3.93,0.038,0.000117,Soluble,-3.69,0.0665,0.000204,Soluble,-6.86,4.48e-05,1.38e-07,Poorly soluble,1,1,0,0,0,0,0,0,-5.99,0,0,0,0,0,0.55,0,0,0,3.48,most
63,COc1ccc2c3c1OC1C3C(=CC(C1)O)CC[NH+](C2)C,C17H22NO3+,288.36,21,6,0.53,1,3,2,85.13,43.13,3.29,1.28,0.12,-1.94,2.03,0.95,-2.58,0.759,0.00263,Soluble,-1.79,4.73,0.0164,Very soluble,-2.96,0.318,0.0011,Soluble,1,0,1,0,0,0,0,0,-7.15,0,0,0,0,0,0.55,0,1,0,4.32,most
64,ClCC[NH+](P1(=O)OCCC[NH2+]1)CCCl,C7H17Cl2N2O2P++,263.1,14,0,1.0,5,2,2,64.82,57.16,2.29,0.63,-0.94,-6.4,1.13,-0.66,-1.54,7.62,0.029,Very soluble,-1.41,10.3,0.0393,Very soluble,-2.71,0.512,0.00195,Soluble,1,0,0,0,0,0,0,0,-7.46,0,1,0,0,0,0.55,0,2,0,4.22,most
65,OCC1C=CC(C1)N1CNC2C1[N-]C(=N)[N-]C2=NC1CC1,C14H20N6O--,288.35,21,0,0.71,3,7,3,93.96,71.71,1.98,-0.45,-0.85,0.54,-0.46,0.15,-1.15,20.6,0.0714,Very soluble,-0.59,74.1,0.257,Very soluble,-1.24,16.6,0.0575,Soluble,1,0,1,0,0,0,0,0,-8.38,0,1,0,0,0,0.55,0,2,0,5.09,most
66,[O-][N+](=O)OC(CO[N+](=O)[O-])CO[N+](=O)[O-],C3H5N3O9,227.09,15,0,1.0,8,9,0,44.1,165.15,-0.67,1.62,-1.02,-2.72,-5.61,-1.68,-1.74,4.13,0.0182,Very soluble,-4.7,0.00453,1.99e-05,Moderately soluble,1.89,17600.0,77.6,Soluble,0,0,0,0,0,0,0,0,-6.54,1,1,1,1,2,0.55,0,2,2,3.54,most
67,OCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)[NH+]1CCCC1C(=O)NCC(=O)N)CCCNC(=[NH2+])N)CC(C)C)Cc1c[nH]c2c1cccc2)Cc1ccc(cc1)[O-])NC(=O)C(Cc1c[nH]c2c1cccc2)NC(=O)C(NC(=O)C1CCC(=O)N1)Cc1[n-]cnc1,C64H82N18O13,1311.45,95,29,0.42,43,16,17,351.01,490.79,0.96,0.09,-6.02,-8.34,3.43,-1.98,-5.42,0.00504,3.84e-06,Moderately soluble,-9.95,1.47e-07,1.12e-10,Poorly soluble,-13.44,4.77e-11,3.64e-14,Insoluble,0,0,1,0,0,0,0,0,-14.24,3,4,2,1,6,0.17,0,2,2,9.89,most
68,N#CCC(=O)[NH+]1CCC(C(C1)[NH+](c1ncnc2c1cc[nH]2)C)C,C16H22N6O++,314.39,23,9,0.5,4,6,3,92.44,91.31,2.09,1.5,-1.54,-6.26,1.04,-0.63,-2.76,0.547,0.00174,Soluble,-3.03,0.297,0.000943,Soluble,-3.34,0.145,0.000461,Soluble,1,0,1,0,0,0,0,0,-7.15,0,1,0,0,0,0.55,0,0,0,3.34,most
69,O=C(OC1CCC2C1(C)CCC1C2CCc2c1ccc(c2)[O-])CCC1CCCC1,C26H35O3-,395.55,29,6,0.73,5,3,0,115.6,49.36,3.74,7.07,6.57,5.11,5.4,5.58,-6.57,0.000107,2.69e-07,Poorly soluble,-7.92,4.71e-06,1.19e-08,Poorly soluble,-5.91,0.000492,1.24e-06,Moderately soluble,1,0,0,0,0,1,0,0,-3.69,1,1,0,1,1,0.85,0,0,2,4.41,most
70,COc1ccc(cc1C(CNC(=O)C[NH3+])O)OC,C12H19N2O4+,255.29,18,6,0.42,7,4,3,66.94,95.43,1.79,-0.58,-1.23,-4.07,0.6,-0.7,-0.84,36.7,0.144,Very soluble,-0.95,28.4,0.111,Very soluble,-2.58,0.668,0.00262,Soluble,1,0,0,0,0,0,0,0,-8.27,0,1,0,0,0,0.55,0,0,0,2.53,most
71,[NH3+]CCCCC1NC(=O)C(NC(=O)C(Cc2ccccc2)NC(=O)C(CSSCC([NH2+]C(C(NC1=O)C(=O)C)O)C(=O)NC(C(O)C)CO)NC(=O)C(Cc1ccccc1)[NH3+])Cc1c[nH]c2c1cccc2,C49H69N10O10S2+++,1022.26,71,21,0.45,19,10,13,292.87,390.64,2.23,0.67,-5.17,-13.86,1.98,-2.83,-5.57,0.00278,2.72e-06,Moderately soluble,-8.45,3.63e-06,3.55e-09,Poorly soluble,-11.05,9.2e-09,8.99e-12,Insoluble,0,0,1,0,0,0,0,0,-12.06,3,4,2,1,4,0.17,0,1,2,8.84,most
72,COc1ccc(cc1OC)CC[NH+](CCCC(c1ccc(c(c1)OC)OC)(C(C)C)C#N)C,C27H39N2O4+,455.61,33,12,0.52,13,5,1,133.72,65.15,4.5,3.79,3.68,-0.73,5.89,3.43,-4.46,0.0157,3.44e-05,Moderately soluble,-4.85,0.0064,1.41e-05,Moderately soluble,-8.0,4.55e-06,9.98e-09,Poorly soluble,1,1,1,0,0,0,1,0,-6.39,0,2,1,0,0,0.55,0,0,3,4.06,most
73,C[NH2+]CCC(c1ccccc1)Oc1ccccc1C,C17H22NO+,256.36,19,12,0.29,6,1,1,80.87,25.84,3.19,3.71,2.37,-0.25,4.03,2.61,-3.84,0.0372,0.000145,Soluble,-3.94,0.0292,0.000114,Soluble,-6.34,0.000116,4.54e-07,Poorly soluble,1,1,0,1,0,0,1,0,-5.23,0,0,0,0,0,0.55,0,0,1,2.53,most
74,FC(c1ccc(cc1)OC(c1ccccc1)CC[NH2+]C)(F)F,C17H19F3NO+,310.33,22,12,0.29,7,4,1,80.9,25.84,3.29,4.23,4.24,0.37,4.58,3.34,-4.37,0.0132,4.26e-05,Moderately soluble,-4.48,0.0102,3.29e-05,Moderately soluble,-6.82,4.66e-05,1.5e-07,Poorly soluble,1,1,0,1,0,0,1,0,-5.19,0,0,0,0,0,0.55,0,0,1,2.59,most
75,C[NH2+]CCC=C1c2ccccc2CCc2c1cccc2,C19H22N+,264.38,20,12,0.26,3,0,1,87.32,16.61,3.22,4.51,2.8,0.4,4.92,3.17,-4.57,0.00717,2.71e-05,Moderately soluble,-4.58,0.00695,2.63e-05,Moderately soluble,-7.03,2.5e-05,9.44e-08,Poorly soluble,1,1,0,1,0,0,1,0,-4.71,0,0,0,0,1,0.55,1,0,1,3.33,most
76,O=c1[n-]c(c(s1)Cc1ccc(cc1)OCCN(c1ccccn1)C)[O-],C18H17N3O3S--,355.41,25,17,0.22,7,5,0,96.32,106.62,2.69,3.1,2.71,1.79,4.05,2.87,-4.04,0.0326,9.17e-05,Moderately soluble,-5.01,0.0035,9.84e-06,Moderately soluble,-5.92,0.000425,1.2e-06,Moderately soluble,1,0,0,1,1,1,0,1,-6.27,0,0,0,0,0,0.56,0,0,1,3.01,most
77,N#Cc1n(C)nc2c1c1c[n-]c(=N)c(c1)OC(C)c1c(C(=O)[NH+](C2)C)ccc(c1)F,C21H19FN6O2,406.41,30,17,0.24,0,8,2,110.05,109.09,2.61,1.08,0.41,-2.02,2.87,0.99,-3.46,0.141,0.000347,Soluble,-2.96,0.443,0.00109,Soluble,-6.13,0.0003,7.38e-07,Poorly soluble,1,0,1,0,0,0,0,0,-8.01,0,0,0,0,0,0.55,0,0,1,4.71,most
78,CC(OCCOCc1ccc(cc1)OCC(C[NH2+]C(C)C)O)C,C18H32NO4+,326.45,23,6,0.67,12,4,2,93.36,64.53,3.86,1.87,1.19,-2.32,3.37,1.59,-2.44,1.18,0.0036,Soluble,-2.85,0.465,0.00142,Soluble,-4.79,0.00529,1.62e-05,Moderately soluble,1,1,0,0,0,0,0,0,-6.96,0,0,1,0,0,0.55,0,0,1,3.27,most
79,OC1CC(OC2CCC3(C(C2)CCC2C3CC(O)C3(C2(O)CCC3c2coc(c2)[O-])C)C)OC(C1OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)O)C,C41H63O14-,779.93,55,5,0.9,7,14,6,195.06,212.96,5.2,2.45,3.64,0.19,0.64,2.42,-5.82,0.00117,1.5e-06,Moderately soluble,-6.57,0.000212,2.72e-07,Poorly soluble,-2.09,6.3,0.00807,Soluble,0,0,1,0,0,0,0,0,-9.32,3,3,1,1,5,0.11,0,1,1,8.75,most
80,CNS(=O)(=O)CCc1ccc2c(c1)c(c[nH]2)C1CC[NH+](CC1)C,C17H26N3O2S+,336.47,23,9,0.53,5,3,3,99.31,74.78,2.05,1.99,1.35,-2.47,2.4,1.06,-3.14,0.244,0.000725,Soluble,-3.19,0.219,0.000651,Soluble,-5.31,0.00166,4.92e-06,Moderately soluble,1,0,1,0,0,0,0,0,-6.94,0,0,0,0,0,0.55,0,0,0,3.51,most
81,COC(=O)C(c1ccccc1)C1CCCC[NH2+]1,C14H20NO2+,234.31,17,6,0.5,4,2,1,71.91,42.91,2.86,0.2,0.68,-1.56,2.63,0.96,-1.42,8.99,0.0384,Very soluble,-0.66,51.3,0.219,Very soluble,-3.74,0.0428,0.000183,Soluble,1,1,0,0,0,0,0,0,-7.59,0,0,0,0,0,0.55,0,0,1,2.82,most
82,C[NH+]1CCN(CC1)c1c(F)cc2c3c1OCC(n3cc(c2=O)C(=O)[O-])C,C18H20FN3O4,361.37,26,10,0.44,2,5,1,100.85,79.04,1.78,-0.39,-1.55,-2.7,1.47,-0.28,-1.99,3.72,0.0103,Very soluble,-0.81,56.4,0.156,Very soluble,-3.01,0.356,0.000986,Soluble,1,0,0,1,0,0,0,0,-8.78,0,1,0,0,0,0.55,0,0,1,3.9,most
83,CC[NH+](CC#CCOC(=O)C(c1ccccc1)(C1CCCCC1)O)CC,C22H32NO3+,358.49,26,6,0.59,8,3,2,106.04,50.97,4.15,4.18,1.9,-0.61,4.0,2.72,-4.34,0.0164,4.58e-05,Moderately soluble,-4.96,0.00394,1.1e-05,Moderately soluble,-4.76,0.00616,1.72e-05,Moderately soluble,1,1,0,0,0,0,0,0,-5.52,0,0,0,0,0,0.55,0,1,3,4.19,most
84,COC(=O)C1=C(C)N=C(C(C1c1cccc(c1)[N+](=O)[O-])C(=O)OCC[NH+](Cc1ccccc1)C)C,C26H30N3O6+,480.53,35,12,0.35,11,7,1,138.35,115.22,3.78,3.4,1.94,-0.04,2.71,2.36,-4.49,0.0156,3.24e-05,Moderately soluble,-5.5,0.00152,3.17e-06,Moderately soluble,-6.55,0.000136,2.84e-07,Poorly soluble,1,0,0,0,0,1,0,1,-6.82,0,2,1,0,0,0.55,0,3,2,5.27,most
85,[O-]C(=O)CNC(=O)C(C[NH+]1CCC(C(C1)C)(C)c1cccc(c1)[O-])Cc1ccccc1,C25H31N2O4-,423.52,31,12,0.44,9,4,2,122.09,96.73,2.57,1.68,0.36,-1.19,3.61,1.41,-3.22,0.257,0.000607,Soluble,-3.33,0.2,0.000472,Soluble,-6.13,0.000312,7.36e-07,Poorly soluble,1,0,1,0,0,0,0,1,-7.69,0,0,0,0,0,0.56,0,0,2,3.84,most
86,CC1[NH2+]C(C)CN(C1)c1c(F)c(N)c2c(c1F)n(cc(c2=O)C(=O)[O-])C1CC1,C19H22F2N4O3,392.4,28,10,0.47,3,5,2,108.24,108.0,2.35,0.11,-0.26,-2.09,1.79,0.38,-2.41,1.53,0.0039,Soluble,-1.93,4.57,0.0117,Very soluble,-3.69,0.0792,0.000202,Soluble,1,0,1,0,0,0,0,0,-8.62,0,0,0,0,0,0.55,0,1,1,3.73,most
87,COc1cc(ccc1N1CCC(CC1)[NH+]1CC[NH+](CC1)C)N=c1[n-]c([NH2+]C2CCOCC2)c(nc1C(=O)N)CC,C29H46N8O3++,554.73,40,12,0.62,8,7,4,168.28,128.42,4.37,2.33,-3.45,-10.17,2.74,-0.84,-4.44,0.0201,3.62e-05,Moderately soluble,-4.67,0.012,2.16e-05,Moderately soluble,-6.1,0.000438,7.89e-07,Poorly soluble,0,0,1,0,0,0,0,0,-8.03,2,4,0,0,0,0.17,1,0,2,5.94,most
88,CCCCCOC(=O)N=C1[N-]C(=O)N(CC1F)C1OC(C(C1O)O)C,C15H23FN3O6-,360.36,25,0,0.8,7,9,2,91.96,108.66,2.8,0.76,0.98,0.58,0.13,1.05,-2.09,2.92,0.00811,Soluble,-2.62,0.861,0.00239,Soluble,-1.16,24.8,0.0689,Soluble,1,0,1,0,0,0,0,0,-7.96,0,0,0,0,0,0.55,0,1,1,5.23,most
89,COc1cccc2c1c([O-])c1c([O-])c3=C(OC4OC(C)C(C(C4)[NH3+])O)CC(C=c3c(c1c2[O-])[O-])(O)C(=O)C,C27H26NO10---,524.5,38,14,0.37,4,10,3,131.31,205.1,1.7,-1.02,1.31,-4.64,1.24,-0.28,-2.46,1.83,0.00348,Soluble,-2.8,0.832,0.00159,Soluble,-3.38,0.22,0.00042,Soluble,0,0,0,0,0,0,0,0,-10.22,2,2,1,1,1,0.11,0,1,1,5.93,most
90,CCCCCCC[NH+](CCCC(c1ccc(cc1)NS(=O)(=O)C)O)CC,C20H37N2O3S+,385.58,26,6,0.7,14,3,3,112.68,79.22,3.39,4.03,3.31,-1.22,3.57,2.61,-4.02,0.0371,9.63e-05,Moderately soluble,-5.4,0.00155,4.01e-06,Moderately soluble,-6.33,0.000181,4.7e-07,Poorly soluble,1,0,1,0,0,0,0,0,-5.79,0,0,1,0,0,0.55,0,0,3,3.62,most
91,OCC(NC(=O)c1c(I)c(C(=O)NC(CO)CO)c(c(c1I)NC(C(=O)C)O)I)CO,C17H22I3N3O8,777.09,31,6,0.47,13,8,8,134.74,188.45,0.9,-0.99,-1.21,-0.2,2.32,0.16,-3.32,0.372,0.000479,Soluble,-2.48,2.57,0.0033,Soluble,-3.96,0.0844,0.000109,Soluble,0,0,1,0,0,0,0,0,-11.74,3,3,2,1,3,0.17,0,2,2,3.67,most
92,COc1cc2CC(c2cc1OC)C[NH+](CCC[NH+]1CCc2c(CC1=O)cc(c(c2)OC)OC)C,C27H38N2O5++,470.6,34,12,0.52,10,6,2,138.15,62.87,4.62,2.4,0.1,-4.79,4.72,1.41,-3.87,0.0634,0.000135,Soluble,-3.36,0.205,0.000435,Soluble,-7.28,2.48e-05,5.26e-08,Poorly soluble,1,0,1,0,0,0,0,0,-7.47,0,2,0,0,0,0.55,0,0,2,4.51,most
93,COc1c(c(F)cc2c1n(cc(c2=O)C(=O)[O-])C1CC1)N1CC2C(C1)CCC[NH2+]2,C21H24FN3O4,401.43,29,10,0.52,4,5,1,113.07,91.21,2.86,0.61,-0.39,-2.02,2.23,0.66,-2.7,0.793,0.00198,Soluble,-2.1,3.19,0.00795,Soluble,-3.95,0.045,0.000112,Soluble,1,0,1,0,0,0,0,0,-8.32,0,0,0,0,0,0.55,0,0,1,3.89,most
94,COc1ccc(cc1)C1Sc2ccccc2N(C(=O)C1OC(=O)C)CC[NH+](C)C,C22H27N2O4S+,415.53,29,12,0.36,7,4,1,118.65,85.58,3.48,2.7,1.25,-1.28,2.83,1.79,-3.96,0.0454,0.000109,Soluble,-4.15,0.0294,7.08e-05,Moderately soluble,-5.65,0.000924,2.22e-06,Moderately soluble,1,0,0,0,0,0,0,0,-6.92,0,0,0,0,0,0.55,0,0,1,4.4,most
95,Clc1ccc2c(c1)C(C)C[NH2+]CC2,C11H15ClN+,196.7,13,6,0.45,0,0,1,61.37,16.61,2.52,2.74,1.18,-0.74,3.34,1.81,-3.13,0.147,0.000746,Soluble,-2.74,0.355,0.00181,Soluble,-4.33,0.00912,4.63e-05,Moderately soluble,1,1,0,1,0,0,0,0,-5.55,0,0,0,0,2,0.55,0,0,1,2.27,most
96,O=C1[N-]C(=O)NC1(c1ccccc1)c1ccccc1,C15H11N2O2-,251.26,19,12,0.07,2,3,1,76.54,46.17,1.66,2.47,1.68,2.01,2.42,2.05,-3.29,0.129,0.000514,Soluble,-3.08,0.207,0.000824,Soluble,-5.62,0.000604,2.4e-06,Moderately soluble,1,1,0,1,0,0,0,0,-6.08,0,0,0,0,0,0.85,0,1,0,1.8,most
97,CC[NH+](C(C(=O)c1ccccc1)C)CC,C13H20NO+,206.3,15,6,0.46,5,1,1,64.83,21.51,2.79,2.81,1.18,-1.37,2.58,1.6,-2.86,0.288,0.0014,Soluble,-2.92,0.249,0.00121,Soluble,-3.71,0.0404,0.000196,Soluble,1,1,0,1,0,0,0,0,-5.56,0,0,0,0,0,0.55,0,0,1,1.81,most
98,OC(c1ccc(cc1)NS(=O)(=O)C)C[NH2+]C(C)C,C12H21N2O3S+,273.37,18,6,0.5,6,3,3,74.13,91.39,1.87,0.24,0.63,-3.2,0.58,0.02,-1.54,7.94,0.0291,Very soluble,-1.72,5.22,0.0191,Very soluble,-3.51,0.0837,0.000306,Soluble,1,0,0,0,0,0,0,0,-7.8,0,0,0,0,0,0.55,0,0,0,2.43,most
99,CCC1(OCCc2c1[nH]c1c2cccc1CC)CC(=O)[O-],C17H20NO3-,286.35,21,9,0.47,4,3,1,80.72,65.15,2.23,2.81,1.94,2.12,4.31,2.68,-3.44,0.104,0.000364,Soluble,-3.84,0.0418,0.000146,Soluble,-5.2,0.00181,6.31e-06,Moderately soluble,1,1,0,0,1,0,1,0,-6.05,0,0,0,0,0,0.85,0,0,0,3.43,most
100,CCOC(=O)C1=C(COCC[NH3+])N=C(C(C1c1ccccc1Cl)C(=O)OC)C,C20H26ClN2O5+,409.88,28,6,0.45,10,6,1,110.95,101.83,3.55,1.37,1.38,-2.35,3.9,1.57,-2.74,0.741,0.00181,Soluble,-3.11,0.317,0.000774,Soluble,-5.4,0.00164,3.99e-06,Moderately soluble,1,0,1,1,0,0,0,0,-7.83,0,0,0,0,0,0.55,0,1,2,4.94,most
101,CCOC(=O)c1ncn2c1C[NH+](C)C(=O)c1c2ccc(c1)F,C15H15FN3O3+,304.3,22,11,0.27,3,6,1,80.43,65.63,2.65,1.0,0.24,-1.67,1.71,0.79,-2.53,0.901,0.00296,Soluble,-1.97,3.28,0.0108,Very soluble,-3.84,0.0441,0.000145,Soluble,1,0,1,0,0,0,0,0,-7.45,0,0,0,0,0,0.55,0,0,0,3.1,most
102,CCOC(=O)CCC(=O)OC1C(OC(CC1[NH+](C)C)C)OC1C(C)C(OC2OC(C)C(C(C2)(C)OC)O)C(C)C(=O)OC(CC)C(C(C(C(=O)C(CC1(C)O)C)C)O)(C)O,C43H76NO16+,863.06,60,0,0.91,14,16,5,220.87,227.48,5.69,3.76,1.26,-4.14,2.07,1.73,-6.64,0.0002,2.31e-07,Poorly soluble,-8.23,5.08e-06,5.89e-09,Poorly soluble,-3.76,0.15,0.000174,Soluble,0,0,1,0,0,0,0,0,-8.9,2,3,2,1,3,0.17,0,1,3,9.6,most
103,[NH3+]CCC[NH2+]CCSP(=O)(=O)O,C5H16N2O3PS++,215.23,12,0,1.0,7,3,3,51.22,158.06,-4.59,-4.54,-1.55,-8.33,-0.95,-3.99,2.15,30200.0,141.0,Highly soluble,1.84,14900.0,69.3,Highly soluble,-1.06,18.7,0.0869,Soluble,0,0,1,0,0,0,0,0,-10.84,0,1,1,1,2,0.55,0,1,1,3.32,most
104,N#CCC1(C[NH+](C1)S(=O)(=O)CC)n1ncc(c1)c1ncnc2c1cc[nH]2,C16H18N7O2S+,372.42,26,14,0.38,5,6,2,99.47,130.14,1.38,-0.46,0.38,-3.46,0.61,-0.31,-1.93,4.4,0.0118,Very soluble,-1.81,5.81,0.0156,Very soluble,-4.38,0.0156,4.2e-05,Moderately soluble,1,0,1,0,0,0,0,0,-8.9,0,0,0,0,0,0.55,0,0,1,3.82,most
105,CCC(=O)OC(c1ccccc1)(C(C[NH+](C)C)C)Cc1ccccc1,C22H30NO2+,340.48,25,12,0.41,9,2,1,104.48,30.74,3.7,4.18,2.75,0.47,4.66,3.15,-4.35,0.0154,4.51e-05,Moderately soluble,-4.53,0.00995,2.92e-05,Moderately soluble,-6.77,5.82e-05,1.71e-07,Poorly soluble,1,1,1,0,0,0,0,0,-5.41,0,0,0,0,0,0.55,0,0,2,3.56,most
106,COC(=O)c1ccc2c(c1)[n-]c(c2C(=Nc1ccc(cc1)N(C(=O)C[NH+]1CC[NH+](CC1)C)C)c1ccccc1)[O-],C31H33N5O4,539.62,40,21,0.26,9,6,2,163.55,103.8,3.74,4.3,0.51,-5.01,4.26,1.56,-5.69,0.0011,2.05e-06,Moderately soluble,-6.19,0.000346,6.41e-07,Poorly soluble,-7.93,6.3e-06,1.17e-08,Poorly soluble,1,0,1,0,0,1,0,0,-6.54,1,3,0,0,0,0.55,0,1,3,4.81,most
107,Nc1cc([n-]c(=N)[n+]1[O-])N1CCCCC1,C9H14N5O-,208.24,15,6,0.56,1,3,2,61.3,91.46,1.42,-1.24,-1.04,0.64,-0.28,-0.1,-0.58,54.8,0.263,Very soluble,-0.19,136.0,0.653,Very soluble,-0.68,43.5,0.209,Soluble,1,0,0,0,0,0,0,0,-8.45,0,1,0,0,0,0.56,0,2,1,2.48,most
108,OCC(=O)C1(O)CC(=c2c(=C1)c([O-])c1c(c2[O-])c([O-])c2c(c1[O-])cccc2OC)OC1OC(C)C(C(C1)[NH3+])O,C27H26NO11---,540.5,39,14,0.37,5,11,4,132.47,225.33,1.58,-1.12,0.28,-5.4,0.64,-0.8,-2.42,2.05,0.00379,Soluble,-3.12,0.409,0.000757,Soluble,-2.8,0.857,0.00158,Soluble,0,0,0,0,0,0,0,0,-10.39,2,2,1,1,2,0.11,0,1,1,5.97,most
109,Fc1c(cc2c(c1C)c(=O)c(cn2C1CC1)C(=O)[O-])N1CC[NH2+]C(C1)C,C19H22FN3O3,359.39,26,10,0.47,3,4,1,104.04,81.98,2.35,-0.2,-0.48,-1.94,2.5,0.45,-2.03,3.36,0.00936,Soluble,-1.07,30.9,0.0861,Very soluble,-4.03,0.0335,9.33e-05,Moderately soluble,1,0,1,0,0,0,0,0,-8.63,0,1,0,0,0,0.55,0,0,1,3.25,most
110,OC(c1cc(nc2c1cccc2C(F)(F)F)C(F)(F)F)C1CCCC[NH2+]1,C17H17F6N2O+,379.32,26,10,0.47,4,8,2,87.48,49.73,2.78,3.62,5.02,-0.25,4.8,3.19,-4.49,0.0122,3.21e-05,Moderately soluble,-4.35,0.0169,4.45e-05,Moderately soluble,-6.1,0.000304,8.02e-07,Poorly soluble,1,1,1,0,0,0,0,0,-6.04,0,0,0,0,0,0.55,0,0,2,3.29,most
111,Clc1cnc(c(c1)c1ccc(cc1)S(=O)(=O)C)c1ccc(nc1)C,C18H15ClN2O2S,358.84,24,18,0.11,3,4,0,95.97,68.3,2.75,3.34,5.26,2.48,4.41,3.65,-4.53,0.0107,2.98e-05,Moderately soluble,-4.45,0.0127,3.54e-05,Moderately soluble,-7.96,3.97e-06,1.11e-08,Poorly soluble,1,0,0,1,1,1,0,1,-6.12,0,0,0,0,0,0.55,0,0,1,2.96,most
112,O=C1CCC(C(=O)N1)[NH+]1Cc2c(C1=O)cccc2N,C13H14N3O3+,260.27,19,6,0.31,1,4,3,75.9,93.7,1.06,-0.5,-2.29,-2.73,0.61,-0.77,-1.31,12.9,0.0494,Very soluble,-1.0,26.0,0.1,Very soluble,-2.81,0.408,0.00157,Soluble,0,0,0,0,0,0,0,0,-8.24,0,1,0,0,0,0.55,0,2,0,2.37,most
113,COC(=O)CCC1N=C(c2ccccn2)c2c(n3c1ncc3C)ccc(c2)Br,C21H19BrN4O2,439.31,28,17,0.24,5,5,0,113.85,69.37,3.25,3.36,3.48,2.05,4.49,3.33,-4.8,0.00697,1.59e-05,Moderately soluble,-4.49,0.0141,3.2e-05,Moderately soluble,-7.44,1.61e-05,3.66e-08,Poorly soluble,1,1,0,1,1,1,0,1,-6.59,0,0,0,0,0,0.55,0,0,1,4.1,most
114,Cc1ncn(c1)c1cc(NC(=O)c2ccc(c(c2)N=c2[n-]ccc(n2)c2cccnc2)C)cc(c1)C(F)(F)F,C28H21F3N7O-,528.51,39,29,0.11,7,9,1,138.72,97.95,2.81,4.26,6.37,2.82,5.93,4.44,-5.89,0.000683,1.29e-06,Moderately soluble,-6.03,0.000495,9.36e-07,Poorly soluble,-10.86,7.28e-09,1.38e-11,Insoluble,0,0,0,0,0,1,0,1,-6.5,1,3,0,1,0,0.56,0,0,2,3.92,most
